시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
강원,화천군,17591,14899,6519,2526,5330,255,14630,269,2692
강원,철원군,35413,30464,11991,5506,11984,465,29946,518,4949
충북,합계,894837,750483,281678,191743,249511,13239,736171,14312,144354
충북,청주시갑,122563,101824,36014,26411,36209,1585,100219,1605,20739
충북,청주시을,168939,137756,46796,37870,48989,1985,135640,2116,31183
충북,충주시,86958,71241,27717,14981,26152,1239,70089,1152,15717
충북,중원군,45909,38683,14870,9875,12219,757,37721,962,7226
충북,제천시,66669,56361,25006,10266,19267,893,55432,929,10308
충북,청원군,79582,66149,22509,19239,21570,1361,64679,1470,13433
충북,영동군,43281,37234,16518,8984,10068,761,36331,903,6047
충북,보은군,35393,30411,10491,8583,10090,576,29740,671,4982
충북,옥천군,44741,38616,14959,9733,12317,787,37796,820,6125
충북,괴산군,56930,48610,20371,13428,12838,860,47497,1113,8320
충북,음성군,51583,44506,15391,12690,14734,846,43661,845,7077
충북,진천군,36765,30970,8954,9840,10962,588,30344,626,5795
충북,제천군,24350,21165,9145,5227,5784,506,20662,503,3185
충북,단양군,31174,26957,12937,4616,8312,495,26360,597,4217
충남,합계,1191541,973070,351789,271921,308660,20084,952454,20616,218471
충남,천안시,120774,96592,34990,23679,35084,1363,95116,1476,24182
충남,공주시,34950,28735,11350,7100,9416,420,28286,449,6215
충남,공주군,56764,45962,18084,12333,13447,878,44742,1220,10802
충남,대천시,32797,26654,9680,6028,9932,555,26195,459,6143
충남,보령군,48547,39196,14038,9641,13296,1254,38229,967,9351
충남,온양시,38949,31048,11943,7516,10678,420,30557,491,7901
충남,아산군,60092,48473,17458,13917,15246,872,47493,980,11619
충남,금산군,49504,40738,14699,12026,12168,870,39763,975,8766
충남,연기군,55954,46115,17532,11069,15664,798,45063,1052,9839
충남,논산군,106107,88091,26871,34968,22661,1750,86250,1841,18016
충남,부여군,71110,59802,25819,15874,15027,1718,58438,1364,11308
충남,서천군,59364,48594,18791,14240,12402,2035,47468,1126,10770
충남,홍성군,67653,56748,20839,16146,17294,1119,55398,1350,10905
충남,청양군,32974,26942,10399,8028,7121,648,26196,746,6032
충남,예산군,75327,60668,23376,16993,17833,1108,59310,1358,14659
충남,서산시,33213,27394,8084,6497,11935,447,26963,431,5819
충남,서산군,55276,45606,13618,12829,17196,979,44622,984,9670
충남,태안군,48203,38882,13033,11042,13149,773,37997,885,9321
충남,당진군,78864,63429,20678,18904,21406,1130,62118,1311,15435
충남,천안군,65119,53401,20507,13091,17705,947,52250,1151,11718
전북,합계,1276931,1126597,63175,991483,46330,11362,1112350,14247,150334
전북,전주시완산구,162867,145116,6075,130676,5931,942,143624,1492,17751
전북,전주시덕진구,165741,147730,5771,133610,5819,882,146082,1648,18011
전북,군산시,122916,108350,7167,93677,5618,728,107190,1160,14566
전북,이리시,127400,113380,5672,101410,4526,654,112262,1118,14020
전북,정주시,43955,39238,1478,35655,1371,321,38825,413,4717
전북,정읍군,57624,49668,2273,44524,1407,665,48869,799,7956
전북,남원시,32705,29664,2113,25956,1057,219,29345,319,3041
전북,남원군,39633,34891,2880,29581,1184,687,34332,559,4742
전북,완주군,59203,51919,2938,45480,2045,634,51097,822,7284
전북,진안군,29971,26140,2310,21585,1403,453,25751,389,3831
전북,무주군,22596,19766,3114,14931,994,355,19394,372,2830
전북,장수군,22391,19538,1579,16582,712,335,19208,330,2853
전북,임실군,33059,29167,1777,25192,1207,506,28682,485,3892
전북,순창군,29227,25755,1494,22530,902,490,25416,339,3472
전북,고창군,60246,52572,2323,46557,2040,933,51853,719,7674
전북,부안군,59206,51036,3019,44457,2151,654,50281,755,8170
전북,김제시,29738,25871,1411,22727,1191,247,25576,295,3867
전북,김제군,61636,53815,2889,47398,2079,694,53060,755,7821
전북,옥구군,46484,40751,2627,34829,2329,427,40212,539,5733
전북,익산군,70333,62230,4265,54126,2364,536,61291,939,8103
전남,합계,1445165,1285110,53360,1170398,34944,11321,1270023,15087,160055
전남,목포시,133515,121306,2557,115118,1973,516,120164,1142,12209
전남,여수시,111412,99269,3591,91521,2573,510,98195,1074,12143
전남,순천시,92664,84808,2771,78881,1958,335,83945,863,7856
전남,나주시,24115,22083,640,20332,795,131,21898,185,2032
전남,나주군,57671,52680,1106,49606,929,492,52133,547,4991
전남,여천시,43675,39422,2412,34707,1683,205,39007,415,4253
전남,여천군,48193,42130,1906,38331,891,452,41580,550,6063
전남,담양군,43473,39867,1170,36955,797,482,39404,463,3606
전남,장성군,40812,35872,947,33348,820,376,35491,381,4940
전남,화순군,48574,43839,1868,40052,826,492,43238,601,4735
전남,곡성군,31002,27729,1119,24713,1029,410,27271,458,3273
전남,구례군,26124,23018,1026,20708,714,241,22689,329,3106
전남,승주군,51572,44975,1713,41085,1079,487,44364,611,6597
전남,동광양시,33650,30400,5235,21335,3387,209,30166,234,3250
전남,광양군,45927,41077,2646,35998,1655,325,40624,453,4850
전남,고흥군,82694,72861,4035,65850,1435,715,72035,826,9833
전남,보성군,52437,45644,2519,40612,1428,579,45138,506,6793
전남,장흥군,42800,37382,1321,33500,1659,462,36942,440,5418
전남,강진군,39093,34553,2061,30890,829,282,34062,491,4540
전남,완도군,51385,45136,1600,40955,1604,416,44575,561,6249
전남,해남군,73094,64715,2387,59629,1306,583,63905,810,8379
전남,진도군,33328,28482,1322,25921,447,362,28052,430,4846
전남,영암군,44570,40131,1589,36839,855,412,39695,436,4439
전남,무안군,52357,46518,1501,42458,1555,409,45923,595,5839
전남,영광군,54548,47119,2133,42363,1275,640,46411,708,7429
전남,함평군,38584,33630,894,31346,631,378,33249,381,4954
전남,신안군,47896,40464,1291,37345,811,420,39867,597,7432
경북,합계,1876635,1559478,991424,147440,368869,23904,1531637,27841,317157
경북,포항시,192422,159012,97780,17304,40196,2077,157357,1655,33410
경북,경주시,89999,74608,45661,6356,20476,1104,73597,1011,15391
경북,김천시,51806,43911,30535,3196,9103,553,43387,524,7895
경북,금릉군,50599,42524,29534,3587,7821,711,41653,871,8075
경북,안동시,71895,59748,38333,5630,14100,934,58997,751,12147
경북,구미시,120383,99454,57955,10315,28716,1301,98287,1167,20929
경북,영주시,51898,44228,29054,3940,9898,647,43539,689,7670
경북,영풍군,38524,34054,22512,3126,6970,598,33206,848,4470
경북,영천시,33385,27052,16818,2430,7126,323,26697,355,6333
경북,영천군,52310,41452,25048,4839,10178,621,40686,766,10858
경북,상주시,33025,27935,18581,2436,6049,436,27502,433,5090
경북,상주군,60524,51951,34123,4903,10634,876,50536,1415,8573
경북,점촌시,29543,24546,16644,1798,5467,330,24239,307,4997
경북,문경군,38292,32477,22281,2256,6571,545,31653,824,5815
경북,달성군,72529,56288,33671,4707,16083,895,55356,932,16241
경북,고령군,27068,22270,14427,1975,5104,351,21857,413,4798
경북,군위군,25465,22641,14940,1822,5041,331,22134,507,2824
경북,선산군,43525,38000,26252,2655,7824,531,37262,738,5525
경북,의성군,66237,56336,35566,6348,12357,760,55031,1305,9901
경북,안동군,55195,47015,28752,6026,10055,922,45755,1260,8180
경북,청송군,27199,23909,15224,2878,4962,385,23449,460,3290
경북,영덕군,43188,35330,25234,2647,6363,503,34747,583,7858
경북,영양군,19130,16566,9955,2710,3211,317,16193,373,2564
경북,봉화군,37319,31256,19399,3086,7188,605,30278,978,6063
경북,영일군,118993,95228,58962,10453,22484,1580,93479,1749,23765
경북,울릉군,8439,7046,4968,577,1297,87,6929,117,1393
경북,경주군,90169,74232,44669,6645,20330,1285,72929,1303,15937
경북,경산시,41175,32313,18634,2840,9892,485,31851,462,8862
경북,경산군,55411,44366,27295,3628,11947,682,43552,814,11045
경북,청도군,41338,34687,23567,2578,7173,585,33903,784,6651
경북,성주군,38166,33052,21653,2971,7029,616,32269,783,5114
경북,칠곡군,54823,46078,28870,4096,11598,679,45243,835,8745
경북,예천군,50302,42519,29136,3663,7886,711,41396,1123,7783
경북,울진군,46359,37394,25391,3019,7740,538,36688,706,8965
경남,합계,2437338,2118601,1514043,193373,358241,27933,2093590,25011,318737
경남,창원시갑,119597,103202,75095,11541,14403,1225,102264,938,16395
경남,창원시갑,6353,5505,4339,513,569,44,5465,40,848
경남,창원시을,113528,98696,66905,13090,16680,1338,98013,683,14832
경남,울산시중구,169730,145082,73795,17020,51021,1819,143655,1427,24648
경남,울산시남구,175536,150363,87303,16062,44066,1559,148990,1373,25173
경남,울산시동구,110506,98419,26658,17982,51510,1296,97446,973,12087
경남,마산시합포구,124104,108330,89194,7361,9348,1412,107315,1015,15774
경남,마산시회원구,124599,107933,86489,8757,10266,1431,106943,990,16666
경남,진주시,153251,134337,106479,9678,15058,1964,133179,1158,18914
경남,진해시,79074,71990,56056,6165,8149,897,71267,723,7084
경남,창원군,56126,49469,40911,2987,4333,639,48870,599,6657
경남,충무시,57954,50500,44393,2317,2887,438,50035,465,7454
경남,통영군,31394,27200,24378,800,1309,297,26784,416,4194
경남,고성군,49730,43726,36985,2348,3173,621,43127,599,6004
경남,삼천포시,41363,35466,28566,2452,3572,437,35027,439,5897
경남,사천군,37863,33266,26582,2606,3035,509,32732,534,4597
경남,김해시,86525,72909,52473,8195,10443,703,71814,1095,13616
경남,김해군,58121,50353,39634,3847,5727,514,49722,631,7768
경남,진양군,52893,46713,37117,3329,4735,839,46020,693,6180
경남,의령군,29830,26332,21153,1719,2484,430,25786,546,3498
경남,함안군,47857,42682,33915,3064,4324,648,41951,731,5175
경남,창녕군,59230,50003,39893,3355,5436,648,49332,671,9227
경남,밀양시,30778,26013,19626,1870,3869,377,25742,271,4765
경남,밀양군,58752,50094,37851,3889,6869,734,49343,751,8658
경남,양산군,117236,96853,68781,9602,16035,1258,95676,1177,20383
경남,울산군,96149,80934,50678,8146,20082,1049,79955,979,15215
경남,장승포시,29901,27045,19311,4692,2310,559,26872,173,2856
경남,거제군,57708,54440,48626,2559,2146,422,53753,687,3268
경남,하동군,46049,40298,31025,3928,4002,595,39550,748,5751
경남,남해군,49371,43316,32664,2586,6710,578,42538,778,6055
경남,함양군,36250,32489,23487,2624,5081,657,31849,640,3761
경남,산청군,34306,30426,23636,2425,3298,518,29877,549,3880
경남,거창군,50347,44674,32788,3595,6825,760,43968,706,5673
경남,합천군,51680,45048,31596,2782,9055,762,44195,853,6632
제주,합계,319824,265252,104292,85889,65770,4933,260884,4368,54572
제주,제주시,146005,120565,45617,39122,32250,2017,119006,1559,25440
제주,북제주군,66346,54713,23957,15726,12626,1229,53538,1175,11633
제주,서귀포시,53574,44840,16042,16955,10384,768,44149,691,8734
제주,남제주군,53899,45134,18676,14086,10510,919,44191,943,8765
