시도,구시군,선거인수,투표수,득표수_1_한나라당_이회창,득표수_2_새정치국민회의_김대중,득표수_3_국민신당_이인제,득표수_4_건설국민승리21_권영길,득표수_5_공화당_허경영,득표수_6_바른나라정치연합_김한식,득표수_7_통일한국당_신정일,득표수_계,무효투표수,기권수
경북,청도군,42942,33938,20071,4513,7232,302,95,65,434,32712,1226,9004
경북,고령군,29773,23085,14383,3502,3889,206,53,46,237,22316,769,6688
경북,성주군,40602,32417,20013,4685,5934,251,94,78,466,31521,896,8185
경북,군위군,25390,20449,12049,3137,3991,167,69,44,292,19749,700,4941
경북,칠곡군,65192,52237,31984,7640,10231,759,105,57,400,51176,1061,12955
경북,의성군,63657,50944,29156,7908,11313,446,168,106,554,49651,1293,12713
경북,청송군,27271,21871,11546,3831,5123,259,202,56,273,21290,581,5400
경북,영덕군,41662,32302,18600,3916,7909,245,72,65,394,31201,1101,9360
경북,영양군,18545,14528,6911,2552,4193,142,76,38,196,14108,420,4017
경북,봉화군,34954,27154,12924,3427,8818,346,230,97,421,26263,891,7800
경북,울진군,50369,39339,20247,5946,10295,529,381,124,575,38097,1242,11030
경남,합계,2094036,1681584,908808,182102,515869,27823,3215,2150,8047,1648014,33570,412452
경남,창원시갑,167012,135166,69604,16575,42952,3744,153,132,228,133388,1778,31846
경남,창원시을,151573,127176,66247,19397,35252,4823,125,78,119,126041,1135,24397
경남,마산시합포구,149683,119188,75966,10714,28320,1700,135,101,372,117308,1880,30495
경남,마산시회원구,143920,114765,67783,11437,31688,1967,115,96,185,113271,1494,29155
경남,진주시갑,107580,87625,58241,7259,18809,1227,115,146,298,86095,1530,19955
경남,진주시을,122775,99644,63388,8611,23567,1407,181,131,379,97664,1980,23131
경남,진해시,92003,76711,44320,9168,21025,943,98,60,178,75792,919,15292
경남,통영시,96697,74360,38323,4921,28214,554,191,129,452,72784,1576,22337
경남,고성군,50569,39082,19530,3500,14047,414,146,62,360,38059,1023,11487
경남,사천시,86263,69073,39884,6245,19911,748,147,95,423,67453,1620,17190
경남,김해시,200285,159279,69888,21719,62974,1499,247,165,372,156864,2415,41006
경남,의령군,29063,23113,11866,2064,7498,194,120,48,326,22116,997,5950
경남,함안군,49495,39726,20539,3677,13498,459,93,73,289,38628,1098,9769
경남,창녕군,58133,45794,24308,5147,13846,429,123,75,502,44430,1364,12339
경남,밀양시,93482,73508,40788,7283,22427,623,181,103,471,71876,1632,19974
경남,양산시,115115,91461,40989,12207,35020,1422,112,86,166,90002,1459,23654
경남,거제시,108594,87040,35427,9923,35735,3428,189,112,496,85310,1730,21554
경남,하동군,47075,38419,19730,4358,11939,309,146,93,421,36996,1423,8656
경남,남해군,49245,38918,20479,3724,12333,463,110,59,337,37505,1413,10327
경남,함양군,36834,29811,15863,3335,8829,229,143,94,359,28852,959,7023
경남,산청군,34678,27775,15852,2768,7147,477,105,61,344,26754,1021,6903
경남,거창군,52615,43293,25141,3978,11827,349,106,62,375,41838,1455,9322
경남,합천군,51347,40657,24652,4092,9011,415,134,89,595,38988,1669,10690
제주,합계,361680,278999,100103,111009,56014,3856,551,799,1245,273577,5422,82681
제주,제주시,175309,135454,53153,53254,24317,2085,156,258,290,133513,1941,39855
제주,북제주군,71558,54622,18519,20105,12921,701,166,227,439,53078,1544,16936
제주,서귀포시,58547,45135,14768,20392,8288,542,78,120,192,44380,755,13412
제주,남제주군,56266,43788,13663,17258,10488,528,151,194,324,42606,1182,12478
