시도,구시군,선거인수,투표수,득표수_1_민주자유당_김영삼,득표수_2_민주당_김대중,득표수_3_통일국민당_정주영,득표수_4_새한국당_이종찬,득표수_5_신정치개혁당_박찬종,득표수_6_대한정의당_이병호,득표수_7_무소속_김옥선,득표수_8_무소속_백기완,득표수_계,무효투표수,기권수
충남,천안시,120774,96592,34990,23679,25517,0,9367,200,497,866,95116,1476,24182
충남,공주시,34950,28735,11350,7100,6866,0,2491,59,178,242,28286,449,6215
충남,공주군,56764,45962,18084,12333,10240,0,2992,215,381,497,44742,1220,10802
충남,대천시,32797,26654,9680,6028,8191,0,1673,68,294,261,26195,459,6143
충남,보령군,48547,39196,14038,9641,10925,0,2100,271,772,482,38229,967,9351
충남,온양시,38949,31048,11943,7516,8419,0,2163,96,134,286,30557,491,7901
충남,아산군,60092,48473,17458,13917,11969,0,3017,260,372,500,47493,980,11619
충남,금산군,49504,40738,14699,12026,9096,0,2878,194,384,486,39763,975,8766
충남,연기군,55954,46115,17532,11069,11440,0,4009,215,309,489,45063,1052,9839
충남,논산군,106107,88091,26871,34968,16594,0,5773,294,776,974,86250,1841,18016
충남,부여군,71110,59802,25819,15874,11184,0,3604,239,1076,642,58438,1364,11308
충남,서천군,59364,48594,18791,14240,9597,0,2615,190,1494,541,47468,1126,10770
충남,홍성군,67653,56748,20839,16146,13959,0,3129,206,490,629,55398,1350,10905
충남,청양군,32974,26942,10399,8028,5610,0,1349,162,351,297,26196,746,6032
충남,예산군,75327,60668,23376,16993,14020,0,3564,249,536,572,59310,1358,14659
충남,서산시,33213,27394,8084,6497,10292,0,1556,87,146,301,26963,431,5819
충남,서산군,55276,45606,13618,12829,14605,0,2346,245,421,558,44622,984,9670
충남,태안군,48203,38882,13033,11042,11133,0,1765,251,322,451,37997,885,9321
충남,당진군,78864,63429,20678,18904,17384,0,3664,358,527,603,62118,1311,15435
충남,천안군,65119,53401,20507,13091,13359,0,4062,284,439,508,52250,1151,11718
전북,합계,1276931,1126597,63175,991483,35923,0,9320,1087,7130,4232,1112350,14247,150334
전북,전주시완산구,162867,145116,6075,130676,4507,0,1349,75,367,575,143624,1492,17751
전북,전주시덕진구,165741,147730,5771,133610,4398,0,1365,56,299,583,146082,1648,18011
전북,군산시,122916,108350,7167,93677,4178,0,1388,52,367,361,107190,1160,14566
전북,이리시,127400,113380,5672,101410,3415,0,1068,43,303,351,112262,1118,14020
전북,정주시,43955,39238,1478,35655,1101,0,240,30,196,125,38825,413,4717
전북,정읍군,57624,49668,2273,44524,1064,0,267,76,480,185,48869,799,7956
전북,남원시,32705,29664,2113,25956,808,0,225,24,137,82,29345,319,3041
전북,남원군,39633,34891,2880,29581,899,0,221,64,515,172,34332,559,4742
전북,완주군,59203,51919,2938,45480,1621,0,361,63,429,205,51097,822,7284
전북,진안군,29971,26140,2310,21585,1139,0,213,51,347,106,25751,389,3831
전북,무주군,22596,19766,3114,14931,699,0,256,39,257,98,19394,372,2830
전북,장수군,22391,19538,1579,16582,531,0,146,35,251,84,19208,330,2853
전북,임실군,33059,29167,1777,25192,992,0,170,45,370,136,28682,485,3892
전북,순창군,29227,25755,1494,22530,709,0,139,54,374,116,25416,339,3472
전북,고창군,60246,52572,2323,46557,1704,0,238,98,751,182,51853,719,7674
전북,부안군,59206,51036,3019,44457,1795,0,287,69,462,192,50281,755,8170
전북,김제시,29738,25871,1411,22727,928,0,236,27,146,101,25576,295,3867
전북,김제군,61636,53815,2889,47398,1677,0,342,60,474,220,53060,755,7821
전북,옥구군,46484,40751,2627,34829,1957,0,309,63,284,143,40212,539,5733
전북,익산군,70333,62230,4265,54126,1801,0,500,63,321,215,61291,939,8103
전남,합계,1445165,1285110,53360,1170398,26686,0,7210,1048,8010,3311,1270023,15087,160055
전남,목포시,133515,121306,2557,115118,1484,0,452,37,260,256,120164,1142,12209
전남,여수시,111412,99269,3591,91521,1824,0,698,51,237,273,98195,1074,12143
전남,순천시,92664,84808,2771,78881,1485,0,445,28,169,166,83945,863,7856
전남,나주시,24115,22083,640,20332,687,0,103,5,78,53,21898,185,2032
전남,나주군,57671,52680,1106,49606,719,0,162,48,367,125,52133,547,4991
전남,여천시,43675,39422,2412,34707,1112,0,557,14,108,97,39007,415,4253
전남,여천군,48193,42130,1906,38331,672,0,181,38,340,112,41580,550,6063
전남,담양군,43473,39867,1170,36955,577,0,180,40,345,137,39404,463,3606
전남,장성군,40812,35872,947,33348,668,0,115,37,280,96,35491,381,4940
전남,화순군,48574,43839,1868,40052,649,0,128,49,373,119,43238,601,4735
전남,곡성군,31002,27729,1119,24713,866,0,127,36,327,83,27271,458,3273
전남,구례군,26124,23018,1026,20708,575,0,112,27,182,59,22689,329,3106
전남,승주군,51572,44975,1713,41085,885,0,148,46,343,144,44364,611,6597
전남,동광양시,33650,30400,5235,21335,1849,0,1512,26,95,114,30166,234,3250
전남,광양군,45927,41077,2646,35998,1225,0,399,31,194,131,40624,453,4850
전남,고흥군,82694,72861,4035,65850,1180,0,179,76,555,160,72035,826,9833
전남,보성군,52437,45644,2519,40612,1193,0,186,49,414,165,45138,506,6793
전남,장흥군,42800,37382,1321,33500,1487,0,125,47,346,116,36942,440,5418
전남,강진군,39093,34553,2061,30890,656,0,144,29,209,73,34062,491,4540
전남,완도군,51385,45136,1600,40955,1429,0,138,37,332,84,44575,561,6249
전남,해남군,73094,64715,2387,59629,1007,0,233,66,417,166,63905,810,8379
전남,진도군,33328,28482,1322,25921,334,0,91,22,284,78,28052,430,4846
전남,영암군,44570,40131,1589,36839,666,0,149,40,310,102,39695,436,4439
전남,무안군,52357,46518,1501,42458,1366,0,152,37,297,112,45923,595,5839
전남,영광군,54548,47119,2133,42363,946,0,270,59,526,114,46411,708,7429
전남,함평군,38584,33630,894,31346,464,0,126,41,275,103,33249,381,4954
전남,신안군,47896,40464,1291,37345,681,0,98,32,347,73,39867,597,7432
경북,합계,1876635,1559478,991424,147440,240646,0,124858,3365,6240,17664,1531637,27841,317157
경북,포항시,192422,159012,97780,17304,25918,0,14156,122,399,1678,157357,1655,33410
경북,경주시,89999,74608,45661,6356,14359,0,6016,101,220,884,73597,1011,15391
경북,김천시,51806,43911,30535,3196,5641,0,3409,53,138,415,43387,524,7895
경북,금릉군,50599,42524,29534,3587,4989,0,2719,113,211,500,41653,871,8075
경북,안동시,71895,59748,38333,5630,8632,0,5378,90,167,767,58997,751,12147
경북,구미시,120383,99454,57955,10315,17191,0,11423,102,310,991,98287,1167,20929
경북,영주시,51898,44228,29054,3940,5934,0,3915,49,161,486,43539,689,7670
경북,영풍군,38524,34054,22512,3126,4431,0,2465,74,174,424,33206,848,4470
경북,영천시,33385,27052,16818,2430,4703,0,2390,33,66,257,26697,355,6333
경북,영천군,52310,41452,25048,4839,6879,0,3163,136,194,427,40686,766,10858
경북,상주시,33025,27935,18581,2436,3707,0,2302,40,130,306,27502,433,5090
경북,상주군,60524,51951,34123,4903,6846,0,3624,164,306,570,50536,1415,8573
경북,점촌시,29543,24546,16644,1798,3695,0,1734,38,79,251,24239,307,4997
경북,문경군,38292,32477,22281,2256,4666,0,1783,122,144,401,31653,824,5815
경북,달성군,72529,56288,33671,4707,10525,0,5454,104,222,673,55356,932,16241
경북,고령군,27068,22270,14427,1975,3397,0,1653,54,121,230,21857,413,4798
경북,군위군,25465,22641,14940,1822,3447,0,1524,70,108,223,22134,507,2824
경북,선산군,43525,38000,26252,2655,5009,0,2743,72,140,391,37262,738,5525
경북,의성군,66237,56336,35566,6348,8345,0,3833,179,233,527,55031,1305,9901
경북,안동군,55195,47015,28752,6026,6637,0,3246,172,217,705,45755,1260,8180
경북,청송군,27199,23909,15224,2878,3243,0,1644,75,117,268,23449,460,3290
경북,영덕군,43188,35330,25234,2647,4647,0,1631,85,152,351,34747,583,7858
경북,영양군,19130,16566,9955,2710,2173,0,982,56,103,214,16193,373,2564
경북,봉화군,37319,31256,19399,3086,4416,0,2620,152,188,417,30278,978,6063
경북,영일군,118993,95228,58962,10453,14287,0,7997,200,423,1157,93479,1749,23765
경북,울릉군,8439,7046,4968,577,849,0,431,17,26,61,6929,117,1393
경북,경주군,90169,74232,44669,6645,14442,0,5661,227,349,936,72929,1303,15937
경북,경산시,41175,32313,18634,2840,6504,0,3348,40,102,383,31851,462,8862
경북,경산군,55411,44366,27295,3628,7858,0,3986,103,190,492,43552,814,11045
경북,청도군,41338,34687,23567,2578,4569,0,2510,94,154,431,33903,784,6651
경북,성주군,38166,33052,21653,2971,4600,0,2330,99,184,432,32269,783,5114
경북,칠곡군,54823,46078,28870,4096,6920,0,4591,87,176,503,45243,835,8745
경북,예천군,50302,42519,29136,3663,5343,0,2419,124,166,545,41396,1123,7783
경북,울진군,46359,37394,25391,3019,5844,0,1778,118,170,368,36688,706,8965
경남,합계,2437338,2118601,1514043,193373,241135,0,115086,2020,5070,22863,2093590,25011,318737
경남,창원시갑,119597,103202,75095,11541,7873,0,6466,64,155,1070,102264,938,16395
경남,창원시갑,6353,5505,4339,513,350,0,215,4,11,33,5465,40,848
경남,창원시을,113528,98696,66905,13090,9809,0,6826,45,167,1171,98013,683,14832
