시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,득표수_계,무효투표수,기권수
경상북도,봉화군,29612,22947,12536,4209,6038,22783,164,6665
경상북도,울진군,43754,32568,16867,6972,8506,32345,223,11186
경상남도,합계,2744633,2135055,790491,779731,552417,2122639,12416,609578
경상남도,창원시의창구,207375,164047,56887,60757,45579,163223,824,43328
경상남도,창원시성산구,183547,153327,42052,63717,46878,152647,680,30220
경상남도,창원시마산합포구,153651,119281,54488,35592,28599,118679,602,34370
경상남도,창원시마산회원구,172306,136757,56340,45014,34738,136092,665,35549
경상남도,창원시진해구,146938,114779,40049,41249,32917,114215,564,32159
경상남도,진주시,281105,222813,93751,73929,53937,221617,1196,58292
경상남도,통영시,111279,82855,36128,25477,20732,82337,518,28424
경상남도,고성군,47369,34603,16797,9848,7693,34338,265,12766
경상남도,사천시,94377,71555,32475,22370,16221,71066,489,22822
경상남도,김해시,414018,318253,82880,147972,85833,316685,1568,95765
경상남도,밀양시,93568,70687,32394,20842,16966,70202,485,22881
경상남도,거제시,196936,150230,38775,68291,42328,149394,836,46706
경상남도,의령군,25302,19258,10134,5115,3795,19044,214,6044
경상남도,함안군,57493,43866,19809,13597,10149,43555,311,13627
경상남도,창녕군,55896,42878,24464,10310,7676,42450,428,13018
경상남도,양산시,256724,199835,58811,83412,56658,198881,954,56889
경상남도,하동군,43206,34324,14864,11211,7892,33967,357,8882
경상남도,남해군,40197,30208,14166,8680,7082,29928,280,9989
경상남도,함양군,34899,26640,13008,7388,5968,26364,276,8259
경상남도,산청군,32215,24513,12544,6561,5190,24295,218,7702
경상남도,거창군,53345,41325,19976,11256,9717,40949,376,12020
경상남도,합천군,42887,33021,19699,7143,5869,32711,310,9866
제주특별자치도,합계,518000,374459,68063,169493,134856,372412,2047,143541
제주특별자치도,제주시,375292,273163,48027,125717,98036,271780,1383,102129
제주특별자치도,서귀포시,142708,101296,20036,43776,36820,100632,664,41412
